132|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  01:43:32 PM Thursday, 03-June-2021 L03D004
133|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  01:43:38 PM Thursday, 03-June-2021 L03D004
134|TROUBLE|SYSTEM INITIALIZATION|  01:43:47 PM Thursday, 03-June-2021 
135|CLEARED TROUBLE|SYSTEM INITIALIZATION|  01:43:54 PM Thursday, 03-June-2021 
136|FIRE ALARM|FIRE ALARM|FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  01:44:01 PM Thursday, 03-June-2021 L03M004
137|FIRE ALARM|FIRE ALARM|FIRE ALARM|Module L03M010|WATERFLOW|  01:48:14 PM Thursday, 03-June-2021 L03M010
138|ACKNOWLEDGED FIRE ALARM|Module L03M010|WATERFLOW|  01:48:35 PM Thursday, 03-June-2021 L03M010
139|SYSTEM RESET|  01:48:41 PM Thursday, 03-June-2021 
140|CLEARED FIRE ALARM|Module L03M010|WATERFLOW|  01:48:50 PM Thursday, 03-June-2021 L03M010
141|TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  01:48:59 PM Thursday, 03-June-2021 
142|CLEARED TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  01:49:05 PM Thursday, 03-June-2021 
143|SUPERVISORY|Module L03M010|WATERFLOW S|  01:49:16 PM Thursday, 03-June-2021 L03M010
144|SYSTEM RESET|  01:49:27 PM Thursday, 03-June-2021 
145|CLEARED SUPERVISORY|Module L03M010|WATERFLOW S|  01:49:35 PM Thursday, 03-June-2021 L03M010
146|SUPERVISORY|Module L03M010|TAMPER|  01:49:55 PM Thursday, 03-June-2021 L03M010
147|ACKED SUPERVISORY|Module L03M010|TAMPER|  01:50:08 PM Thursday, 03-June-2021 L03M010
148|SYSTEM RESET|  01:50:27 PM Thursday, 03-June-2021 
149|CLEARED SUPERVISORY|Module L03M010|TAMPER|  01:50:33 PM Thursday, 03-June-2021 L03M010
150|SYSTEM RESET|  11:16:10 PM Saturday, 05-June-2021 
151|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  11:17:30 PM Saturday, 05-June-2021 L03D004
152|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  11:17:41 PM Saturday, 05-June-2021 L03D004
153|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  11:17:56 PM Saturday, 05-June-2021 L03D004
154|TROUBLE|SYSTEM INITIALIZATION|  11:18:06 PM Saturday, 05-June-2021 
155|CLEARED TROUBLE|SYSTEM INITIALIZATION|  11:18:15 PM Saturday, 05-June-2021 
156|FIRE ALARM|FIRE ALARM|FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  11:19:02 PM Saturday, 05-June-2021 L03M004
157|ACKNOWLEDGED FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  11:19:11 PM Saturday, 05-June-2021 L03M004
158|TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  11:19:23 PM Saturday, 05-June-2021 
159|CLEARED TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  11:19:33 PM Saturday, 05-June-2021 
160|SYSTEM RESET|  11:19:41 PM Saturday, 05-June-2021 
161|CLEARED FIRE ALARM|LAB 1|Zone Z001|Z001|PULL STATION|  11:19:49 PM Saturday, 05-June-2021 L03M004
162|SUPERVISORY|Module L03M010|TRACK SUPERV|  11:20:03 PM Saturday, 05-June-2021 L03M010
163|CLEARED SUPERVISORY|Module L03M010|TRACK SUPERV|  11:20:21 PM Saturday, 05-June-2021 L03M010
164|SUPERVISORY|Module L03M010|TRACK SUPERV|  11:20:30 PM Saturday, 05-June-2021 L03M010
165|CLEARED SUPERVISORY|Module L03M010|TRACK SUPERV|  11:20:40 PM Saturday, 05-June-2021 L03M010
166|TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  11:20:50 PM Saturday, 05-June-2021 
167|CLEARED TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  11:20:57 PM Saturday, 05-June-2021 
168|FIRE ALARM|FIRE ALARM|FIRE ALARM|Module L03M010|WATERFLOW|  11:21:03 PM Saturday, 05-June-2021 L03M010
169|ACKNOWLEDGED FIRE ALARM|Module L03M010|WATERFLOW|  11:22:37 PM Saturday, 05-June-2021 L03M010
170|SYSTEM RESET|  11:23:06 PM Saturday, 05-June-2021 
171|CLEARED FIRE ALARM|Module L03M010|WATERFLOW|  11:23:15 PM Saturday, 05-June-2021 L03M010
172|TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  11:23:22 PM Saturday, 05-June-2021 
173|CLEARED TROUBLE|PROG MODE ACTIVATED|MASTER PASSWORD|  11:23:29 PM Saturday, 05-June-2021 
174|SUPERVISORY|Module L03M010|WATERFLOW S|  11:23:37 PM Saturday, 05-June-2021 L03M010
175|SUPERVISORY|Module L03M010|WATERFLOW S|  11:24:26 PM Saturday, 05-June-2021 L03M010
176|ACKED SUPERVISORY|Module L03M010|WATERFLOW S|  11:24:32 PM Saturday, 05-June-2021 L03M010
177|ACKED SUPERVISORY|Module L03M010|WATERFLOW S|  11:24:37 PM Saturday, 05-June-2021 L03M010
178|SYSTEM RESET|  11:24:45 PM Saturday, 05-June-2021 
179|CLEARED SUPERVISORY|Module L03M010|WATERFLOW S|  11:24:55 PM Saturday, 05-June-2021 L03M010
180|SUPERVISORY|Module L03M010|WATERFLOW S|  11:25:03 PM Saturday, 05-June-2021 L03M010
181|ACKED SUPERVISORY|Module L03M010|WATERFLOW S|  11:25:40 PM Saturday, 05-June-2021 L03M010
182|SYSTEM RESET|  11:25:48 PM Saturday, 05-June-2021 
183|CLEARED SUPERVISORY|Module L03M010|WATERFLOW S|  11:25:54 PM Saturday, 05-June-2021 L03M010
184|SUPERVISORY|Module L03M010|TAMPER|  11:26:26 PM Saturday, 05-June-2021 L03M010
185|ACKED SUPERVISORY|Module L03M010|TAMPER|  11:26:33 PM Saturday, 05-June-2021 L03M010
186|SYSTEM RESET|  11:26:40 PM Saturday, 05-June-2021 
187|CLEARED SUPERVISORY|Module L03M010|TAMPER|  11:26:49 PM Saturday, 05-June-2021 L03M010
188|ACKED SUPERVISORY|Module L03M010|TAMPER|  11:27:01 PM Saturday, 05-June-2021 L03M010
189|ACKED TROUBLE|AC FAILURE|Module L03M156|POWER MONITR|  11:27:26 PM Saturday, 05-June-2021 L03M156
190|TROUBLE|BATTERY LOW|Module L03M157|POWER MONITR|  11:27:44 PM Saturday, 05-June-2021 L03M157
