"ATC-ALL FLOOR-PANEL-1 - LOOPS 1,2,3,4,5,6,7"|G100,,,,,,,,,,,,,
ADDRESS ID,AREA ID,ADDRESS,ADDRESS LABEL,ADDRESS LABEL,GAS STAGES,,,,,,,,
80,ZONE-28,N105L01M047,G100-GF-Y036-0101-MM-047,APRON TECHNICAL ROOM,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M047,1,
81,ZONE-28,N105L01M048,G100-GF-Y036-0101-MM-048,APRON TECHNICAL ROOM,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M048,1,
82,ZONE-28,N105L01M049,G100-GF-Y036-0101-MM-049,APRON TECHNICAL ROOM,"GS-GD,GAS DISCHARGE",,,,,,N105L01M049,1,
83,ZONE-28,N105L01M050,G100-GF-Y036-0101-MM-050,APRON TECHNICAL ROOM,"GS-T,TROUBLE",,,,,,N105L01M050,1,
84,ZONE-28,N105L01D090,G100-GF-Y036-0101-LSD-090,APRON TECHNICAL ROOM,,,,,,,N105L01D090,1,
85,ZONE-27,N105L01D024,G100-GF-Y036-0101-SD-024,CIRCULATION,,,,,,,N105L01D024,1,
86,ZONE-27,N105L01D025,G100-GF-Y036-0101-SD-025,CIRCULATION,,,,,,,N105L01D025,1,
87,ZONE-27,N105L01D026,G100-GF-Y036-0101-SD-026,CIRCULATION,,,,,,,N105L01D026,1,
88,ZONE-27,N105L01D027,G100-GF-Y036-0101-SD-027,CIRCULATION,,,,,,,N105L01D027,1,
89,ZONE-27,N105L01M051,G100-GF-Y036-0101-RM-051,CIRCULATION,,,,,,,N105L01M051,1,
90,ZONE-27,N105L01M053,G100-GF-Y036-0101-MP-053,CIRCULATION,,,,,,,N105L01M053,1,
91,ZONE-82,N105L01M054,G100-GF-Y036-0101-MM-054,ELECTRICAL,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M054,1,
92,ZONE-82,N105L01M055,G100-GF-Y036-0101-MM-055,ELECTRICAL,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M055,1,
93,ZONE-82,N105L01M056,G100-GF-Y036-0101-MM-056,ELECTRICAL,"GS-GD,GAS DISCHARGE",,,,,,N105L01M056,1,
94,ZONE-82,N105L01M057,G100-GF-Y036-0101-MM-057,ELECTRICAL,"GS-T,TROUBLE",,,,,,N105L01M057,1,
95,ZONE-25,N105L01M058,G100-GF-Y036-0101-MM-058,STAIRS 02,,,,,,,N105L01M058,1,
96,ZONE-25,N105L01D028,G100-GF-Y036-0101-SD-028,STAIRS 02,,,,,,,N105L01D028,1,
97,ZONE-23,N105L01D091,G100-GF-Y036-0101-HD-091,ELEVATOR 04,,,,,,,N105L01D091,1,
98,ZONE-24,N105L01D021,G100-GF-Y036-0101-SD-021,ELEV.MECH,,,,,,,N105L01D021,1,
99,ZONE-10,N105L01D029,G100-GF-Y036-0101-SD-029,CIRCULATION,,,,,,,N105L01D029,1,
100,ZONE-10,N105L01D092,G100-GF-Y036-0101-SD-092,CIRCULATION,,,,,,,N105L01D092,1,
101,ZONE-10,N105L01D030,G100-GF-Y036-0101-SD-030,CIRCULATION,,,,,,,N105L01D030,1,
102,ZONE-10,N105L01D093,G100-GF-Y036-0101-SD-093,CIRCULATION,,,,,,,N105L01D093,1,
103,ZONE-26,N105L01D031,G100-GF-Y036-0101-SD-031,MISC,,,,,,,N105L01D031,1,
104,ZONE-10,N105L01D032,G100-GF-Y036-0101-SD-032,CIRCULATION,,,,,,,N105L01D032,1,
105,ZONE-10,N105L01D033,G100-GF-Y036-0101-SD-033,CIRCULATION,,,,,,,N105L01D033,1,
106,ZONE-10,N105L01D034,G100-GF-Y036-0101-SD-034,CIRCULATION,,,,,,,N105L01D034,1,
107,ZONE-10,N105L01D035,G100-GF-Y036-0101-SD-035,MED SED,,,,,,,N105L01D035,1,
108,ZONE-10,N105L01D036,G100-GF-Y036-0101-SD-036,MED SED,,,,,,,N105L01D036,1,
109,ZONE-10,N105L01D037,G100-GF-Y036-0101-SD-037,MED SED,,,,,,,N105L01D037,1,
110,ZONE-10,N105L01D038,G100-GF-Y036-0101-SD-038,MED SED,,,,,,,N105L01D038,1,
111,ZONE-10,N105L01D039,G100-GF-Y036-0101-SD-039,MED SED,,,,,,,N105L01D039,1,
112,ZONE-10,N105L01D040,G100-GF-Y036-0101-SD-040,MED SED,,,,,,,N105L01D040,1,
113,ZONE-10,N105L01D041,G100-GF-Y036-0101-SD-041,MED SED,,,,,,,N105L01D041,1,
114,ZONE-10,N105L01D042,G100-GF-Y036-0101-SD-042,MED SED,,,,,,,N105L01D042,1,
115,ZONE-10,N105L01D043,G100-GF-Y036-0101-SD-043,MED SED,,,,,,,N105L01D043,1,
116,ZONE-10,N105L01D094,G100-GF-Y036-0101-HD-094,MED SED,,,,,,,N105L01D094,1,
117,ZONE-10,N105L01D044,G100-GF-Y036-0101-SD-044,MED SED,,,,,,,N105L01D044,1,
118,ZONE-10,N105L01D045,G100-GF-Y036-0101-SD-045,MED SED,,,,,,,N105L01D045,1,
119,ZONE-10,N105L01D046,G100-GF-Y036-0101-SD-046,WC,,,,,,,N105L01D046,1,
120,ZONE-10,N105L01D047,G100-GF-Y036-0101-SD-047,MED SED,,,,,,,N105L01D047,1,
121,ZONE-10,N105L01D048,G100-GF-Y036-0101-SD-048,MED SED,,,,,,,N105L01D048,1,
122,ZONE-10,N105L01M063,G100-GF-Y036-0101-RM-063,CONFERENCE ROOM,,,,,,,N105L01M063,1,
123,ZONE-10,N105L01D049,G100-GF-Y036-0101-SD-049,CONFERENCE ROOM,,,,,,,N105L01D049,1,
124,ZONE-10,N105L01D050,G100-GF-Y036-0101-SD-050,CONFERENCE ROOM,,,,,,,N105L01D050,1,
125,ZONE-10,N105L01D051,G100-GF-Y036-0101-SD-051,LOCKERS ROOM,,,,,,,N105L01D051,1,
