LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
60,ZONE-02,N171L01D008,C110-GF-Y036-0201-SD-008,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
61,ZONE-02,N171L01M049,C110-GF-Y036-0201-CM-049,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
62,ZONE-02,N171L01M050,C110-GF-Y036-0201-CM-050,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
63,ZONE-02,N171L01M051,C110-GF-Y036-0201-CM-051,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION, ,,,,,,,
64,ZONE-02,N171L01M052,C110-GF-Y036-0201-CM-052,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
65,ZONE-02,N171L01M053,C110-GF-Y036-0201-MMM-053,02-GF-CI-02 / CIRCULATION,02-GF-CI-02,CIRCULATION,,,,,,,,
66,ZONE-07,N171L01M057,C110-GF-Y036-0201-MM-057,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
67,ZONE-07,N171L01M058,C110-GF-Y036-0201-MM-058,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
68,ZONE-07,N171L01M059,C110-GF-Y036-0201-MM-059,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
69,ZONE-07,N171L01M060,C110-GF-Y036-0201-MM-060,02-GF-TR-17 / PANEL ROOM,02-GF-TR-17,PANEL ROOM,,,,,,,,
70,ZONE-01,N171L01M061,C110-GF-Y036-0201-MM-061,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
71,ZONE-01,N171L01M062,C110-GF-Y036-0201-MM-062,02-GF-TR-28 / GENERATOR HALL,02-GF-TR-28,GENERATOR HALL,,,,,,,,
